"","DAB","DCD","DFG","DGN","DHJ","DLM","DMT","DNO","DOL","DQS","DSH","DTU","DUF","DVX","DZA"
"DAB",1,0.00968147415153379,0.00615205553477158,0.00894672631150874,0.00298569813731754,0.00190418021448973,0.0092673417132216,0.00332231023609936,0.00145380247932261,0.00423436840116473,0.0116615355910066,0.00554319544477544,0.00824750202018906,0.00147064565248513,0.00431895829304454
"DCD",0.00968147415153379,1,0.0104554136925706,0.00160949003010342,0.0114689128744919,0.00607234170551963,0.0054380393096836,0.00839084693109577,0.00183022127169532,0.00709876543209877,0.0121510990781925,0.00687743656827572,0.00760175262629995,0.0019047619047619,0.00645315805580319
"DFG",0.00615205553477158,0.0104554136925706,1,0.00113625751019519,0.0150636388973682,0.0114281147606489,0.00560548648733285,0.00995125231131283,0.00030559678686807,0.0343278871598165,0.0182006661681735,0.0134039182767164,0.0141792075107,0.00200957338431695,0.00729674346477625
"DGN",0.00894672631150874,0.00160949003010342,0.00113625751019519,1,0.00221393136812759,0.00075883729263717,0.00631034369130392,0.00212975675009681,0.00463725813285627,0.00197799782664436,0.00187074229642441,0.00129871943470793,0.000768617626964245,0.00618478133427131,0.00299729091013891
"DHJ",0.00298569813731754,0.0114689128744919,0.0150636388973682,0.00221393136812759,1,0.00580140313005936,0.005657164826715,0.0161769463807759,0.000346569870309906,0.0206234700288122,0.0124107746085833,0.00558759697358482,0.00630826297037435,0.00380072288258747,0.0062020845895426
"DLM",0.00190418021448973,0.00607234170551963,0.0114281147606489,0.00075883729263717,0.00580140313005936,1,0.00272998539775252,0.00964344922595559,0.000310612597066437,0.00390590584711169,0.00868811765256897,0.0021076271918459,0.00607751497165603,0.000928826400524514,0.00440140845070423
"DMT",0.0092673417132216,0.0054380393096836,0.00560548648733285,0.00631034369130392,0.005657164826715,0.00272998539775252,1,0.00406288641582759,0.000211391661773341,0.00515034090351695,0.00517904967985669,0.00643719518194212,0.00587350476326911,0.00217804414559275,0.00400103998151144
"DNO",0.00332231023609936,0.00839084693109577,0.00995125231131283,0.00212975675009681,0.0161769463807759,0.00964344922595559,0.00406288641582759,1,0.000156103652825476,0.00810880829015544,0.0108335899014778,0.00666984989107404,0.0122717244760387,0.000310573473919593,0.00629637611995443
"DOL",0.00145380247932261,0.00183022127169532,0.00030559678686807,0.00463725813285627,0.000346569870309906,0.000310612597066437,0.000211391661773341,0.000156103652825476,1,0.000629623799779632,0,0.000206774690777849,0.000347497055927721,0.00430464902094262,0.000802819659291169
"DQS",0.00423436840116473,0.00709876543209877,0.0343278871598165,0.00197799782664436,0.0206234700288122,0.00390590584711169,0.00515034090351695,0.00810880829015544,0.000629623799779632,1,0.00845366715146478,0.0202523276954438,0.0114003082962749,0.00218242865137101,0.00938050728355679
"DSH",0.0116615355910066,0.0121510990781925,0.0182006661681735,0.00187074229642441,0.0124107746085833,0.00868811765256897,0.00517904967985669,0.0108335899014778,0,0.00845366715146478,1,0.0104804804804805,0.010843724597003,0.000560625408789361,0.00320039389463319
"DTU",0.00554319544477544,0.00687743656827572,0.0134039182767164,0.00129871943470793,0.00558759697358482,0.0021076271918459,0.00643719518194212,0.00666984989107404,0.000206774690777849,0.0202523276954438,0.0104804804804805,1,0.0037248572138068,0.00220225287938236,0.0064430238253727
"DUF",0.00824750202018906,0.00760175262629995,0.0141792075107,0.000768617626964245,0.00630826297037435,0.00607751497165603,0.00587350476326911,0.0122717244760387,0.000347497055927721,0.0114003082962749,0.010843724597003,0.0037248572138068,1,0.00212554910018421,0.00973289050177603
"DVX",0.00147064565248513,0.0019047619047619,0.00200957338431695,0.00618478133427131,0.00380072288258747,0.000928826400524514,0.00217804414559275,0.000310573473919593,0.00430464902094262,0.00218242865137101,0.000560625408789361,0.00220225287938236,0.00212554910018421,1,0.00165022934289687
"DZA",0.00431895829304454,0.00645315805580319,0.00729674346477625,0.00299729091013891,0.0062020845895426,0.00440140845070423,0.00400103998151144,0.00629637611995443,0.000802819659291169,0.00938050728355679,0.00320039389463319,0.0064430238253727,0.00973289050177603,0.00165022934289687,1
