"","EAB","EBY","ECD","EDV","EGN","EHJ","EJQ","ELM","EMT","EOL","EQS","ESH","ETU","EUF","EXC"
"EAB",1,0.00980896582629334,0.00997040364392015,0.0169932996820493,0.00309991696650983,0.00642857142857143,0.00344885598923284,0.0153407845715538,0.00454390344654178,0.000722617941571178,0.00912615770135961,0.015689712506424,0.0127884085361052,0.00100112194700958,0.0163386336046489
"EBY",0.00980896582629334,1,0.0111454276890023,0.00840595018044186,0.00406233954513878,0.0046121134423564,0.00321888412017167,0.00561313890291349,0.00497644678745995,0.00139621028636558,0.00576332505994699,0.0083649030027205,0.0119424327079665,0.00257374494187626,0.00982757794148197
"ECD",0.00997040364392015,0.0111454276890023,1,0.00773617832790601,0.00600673652694611,0.0082174091682808,0.00527023278639554,0.00797302003335838,0.00450237827239389,0.000677989673695739,0.00742789816095487,0.00634690361773506,0.00775132484378708,0.00059277856233764,0.0077274814800024
"EDV",0.0169932996820493,0.00840595018044186,0.00773617832790601,1,0.0056046387673025,0.0100449245368735,0.00750013587202667,0.0192638017112677,0.00850041870092114,0.00221497382993249,0.0129209436340717,0.0220071860199249,0.0133041428090266,0.00168746864500829,0.00944962766412736
"EGN",0.00309991696650983,0.00406233954513878,0.00600673652694611,0.0056046387673025,1,0.00453778882765096,0.00363000300932892,0.0072367230802125,0.00624234006046246,0.00371226778663898,0.0140974229848612,0.00682820296625983,0.00453788270434833,0.0017472885544729,0.00412520803087709
"EHJ",0.00642857142857143,0.0046121134423564,0.0082174091682808,0.0100449245368735,0.00453778882765096,1,0.00426208901284519,0.0105661540569237,0.00588135593220339,0.000324891567439367,0.0117852956760489,0.00829644438097958,0.0151549219768854,0.00203971737676028,0.00997275103342169
"EJQ",0.00344885598923284,0.00321888412017167,0.00527023278639554,0.00750013587202667,0.00363000300932892,0.00426208901284519,1,0.00611846227562567,0.00229910225530983,0.0025255182573924,0.00625064395370402,0.0028330328601512,0.00316932097298154,0.00306246369924494,0.00292456231721485
"ELM",0.0153407845715538,0.00561313890291349,0.00797302003335838,0.0192638017112677,0.0072367230802125,0.0105661540569237,0.00611846227562567,1,0.00723231610513318,0.000877125490497807,0.0112106600142985,0.0134073932196897,0.0123153059628265,0.00055525564895504,0.00618141408528962
"EMT",0.00454390344654178,0.00497644678745995,0.00450237827239389,0.00850041870092114,0.00624234006046246,0.00588135593220339,0.00229910225530983,0.00723231610513318,1,0.00216135015405368,0.00387643488190396,0.0116652164455079,0.0074231625207764,0.00245975986594309,0.00500051729489258
"EOL",0.000722617941571178,0.00139621028636558,0.000677989673695739,0.00221497382993249,0.00371226778663898,0.000324891567439367,0.0025255182573924,0.000877125490497807,0.00216135015405368,1,0.00206083826773482,0.000888029879593596,0.00202434650290745,0.0102312900713045,0.000711061134721281
"EQS",0.00912615770135961,0.00576332505994699,0.00742789816095487,0.0129209436340717,0.0140974229848612,0.0117852956760489,0.00625064395370402,0.0112106600142985,0.00387643488190396,0.00206083826773482,1,0.00780917222774386,0.010021089961447,0.0014394556240549,0.00713670281078796
"ESH",0.015689712506424,0.0083649030027205,0.00634690361773506,0.0220071860199249,0.00682820296625983,0.00829644438097958,0.0028330328601512,0.0134073932196897,0.0116652164455079,0.000888029879593596,0.00780917222774386,1,0.0122890682318415,0.000327028229076734,0.0167687606906332
"ETU",0.0127884085361052,0.0119424327079665,0.00775132484378708,0.0133041428090266,0.00453788270434833,0.0151549219768854,0.00316932097298154,0.0123153059628265,0.0074231625207764,0.00202434650290745,0.010021089961447,0.0122890682318415,1,0.00388829010737138,0.00684228015587711
"EUF",0.00100112194700958,0.00257374494187626,0.00059277856233764,0.00168746864500829,0.0017472885544729,0.00203971737676028,0.00306246369924494,0.00055525564895504,0.00245975986594309,0.0102312900713045,0.0014394556240549,0.000327028229076734,0.00388829010737138,1,0.000796059505448032
"EXC",0.0163386336046489,0.00982757794148197,0.0077274814800024,0.00944962766412736,0.00412520803087709,0.00997275103342169,0.00292456231721485,0.00618141408528962,0.00500051729489258,0.000711061134721281,0.00713670281078796,0.0167687606906332,0.00684228015587711,0.000796059505448032,1
