"","FCD","FDV","FFG","FGN","FJQ","FLM","FMT","FNO","FOL","FQS","FSH","FTU","FUF","FVX","FXC"
"FCD",1,0.00325281609541594,0.00422100517413537,0.00492381817797595,0.00399992488403974,0.00541759950780168,0.00679999331695989,0.00557218425857947,0.00378235604860011,0.00260445528094869,0.00276908978624221,0.0019489452766738,0.00278904231473401,0.00401536917165703,0.00559668392445283
"FDV",0.00325281609541594,1,0.00486804187492877,0.00600361154757159,0.00166235685260436,0.00712028258040528,0.00446202760315052,0.0119751779673329,0.00464254730474337,0.00502288653947422,0.00545882767273448,0.00201321170179302,0.00512352349368409,0.0021601111987678,0.00800237625146332
"FFG",0.00422100517413537,0.00486804187492877,1,0.00591926729986431,0.00132037523221716,0.00802593433586107,0.0120578439225937,0.00807424593967517,0.0029788602474485,0.0080449417619491,0.00532690003562061,0.00162274337249762,0.00306503578251076,0.00281734680676738,0.0124328829259629
"FGN",0.00492381817797595,0.00600361154757159,0.00591926729986431,1,0.0020301498855341,0.00539973584026105,0.00301704631166088,0.00636182039256557,0.00447138314785374,0.00263342323783635,0.00382803981161404,0.00192125080052117,0.000582433796691776,0.00115952282687735,0.00509090909090909
"FJQ",0.00399992488403974,0.00166235685260436,0.00132037523221716,0.0020301498855341,1,0.00398656059049841,0.000931461378224127,0.00210934054344283,0.00172913154368219,0.0023208422959357,0.00146621594102554,0.00560850296113268,0.00479238814845909,0.00439906012048831,0.00247382820819476
"FLM",0.00541759950780168,0.00712028258040528,0.00802593433586107,0.00539973584026105,0.00398656059049841,1,0.00630619380619381,0.00794108901366077,0.00409700782509077,0.00437903558181069,0.0035325287017957,0.00235344080123158,0.00143485747082456,0.00489380602438827,0.00850064398818092
"FMT",0.00679999331695989,0.00446202760315052,0.0120578439225937,0.00301704631166088,0.000931461378224127,0.00630619380619381,1,0.0071457807490279,0.0157886688584754,0.0108649806826042,0.00286666427777977,0.00148301431281255,0.00154337828357627,0.00402252614641995,0.0109141735561768
"FNO",0.00557218425857947,0.0119751779673329,0.00807424593967517,0.00636182039256557,0.00210934054344283,0.00794108901366077,0.0071457807490279,1,0.00617190046723894,0.00625663582587593,0.00402583071075326,0.00160309671365174,0.00169272651123831,0.00619962802231866,0.0156644518272425
"FOL",0.00378235604860011,0.00464254730474337,0.0029788602474485,0.00447138314785374,0.00172913154368219,0.00409700782509077,0.0157886688584754,0.00617190046723894,1,0.00366043116474068,0.00338967310549777,0.00123718628490633,0.000952584614786446,0.00143647061138551,0.00601092896174863
"FQS",0.00260445528094869,0.00502288653947422,0.0080449417619491,0.00263342323783635,0.0023208422959357,0.00437903558181069,0.0108649806826042,0.00625663582587593,0.00366043116474068,1,0.0141185061971317,0.0014032524701088,0.00240868503002254,0.00177191001476592,0.0129880738441431
"FSH",0.00276908978624221,0.00545882767273448,0.00532690003562061,0.00382803981161404,0.00146621594102554,0.0035325287017957,0.00286666427777977,0.00402583071075326,0.00338967310549777,0.0141185061971317,1,0.00166417041105009,0.0016965405325662,0.00240694094598377,0.00697190426638918
"FTU",0.0019489452766738,0.00201321170179302,0.00162274337249762,0.00192125080052117,0.00560850296113268,0.00235344080123158,0.00148301431281255,0.00160309671365174,0.00123718628490633,0.0014032524701088,0.00166417041105009,1,0.0090312427347676,0.00332488632483241,0.00213205410087281
"FUF",0.00278904231473401,0.00512352349368409,0.00306503578251076,0.000582433796691776,0.00479238814845909,0.00143485747082456,0.00154337828357627,0.00169272651123831,0.000952584614786446,0.00240868503002254,0.0016965405325662,0.0090312427347676,1,0.00424415214151494,0.00137377153122688
"FVX",0.00401536917165703,0.0021601111987678,0.00281734680676738,0.00115952282687735,0.00439906012048831,0.00489380602438827,0.00402252614641995,0.00619962802231866,0.00143647061138551,0.00177191001476592,0.00240694094598377,0.00332488632483241,0.00424415214151494,1,0.00205789545891069
"FXC",0.00559668392445283,0.00800237625146332,0.0124328829259629,0.00509090909090909,0.00247382820819476,0.00850064398818092,0.0109141735561768,0.0156644518272425,0.00601092896174863,0.0129880738441431,0.00697190426638918,0.00213205410087281,0.00137377153122688,0.00205789545891069,1
